,Image,YOLO_inference_time,num_bbox,OODL_feat_extraction_time,OSVM_inference_time,OOD_object_present
0,000000.png,1518.014,1.0,1858.17,7.942,0.0
1,000001.png,1334.933,4.0,7154.013,0.661,0.0
2,000002.png,1327.233,8.0,11917.953,1.376,0.0
3,000003.png,1335.144,3.0,4078.362,0.412,0.0
4,000004.png,1314.863,2.0,2716.306,0.335,2.0
5,000005.png,1314.611,5.0,6747.12,0.541,3.0
6,000006.png,1316.313,3.0,4032.233,0.456,2.0
7,000007.png,1315.12,5.0,7309.513,0.816,0.0
8,000008.png,1313.262,4.0,6654.175,0.993,0.0
9,000009.png,1298.376,,,,0.0
10,000010.png,1300.361,5.0,7564.318,0.542,0.0
11,000011.png,1310.217,1.0,1404.872,0.939,1.0
12,000012.png,1314.276,8.0,11898.173,1.277,7.0
13,000013.png,1313.319,8.0,12877.677,1.303,2.0
14,000014.png,4718.643,1.0,2047.208,0.31,0.0
15,000015.png,1835.68,1.0,1450.143,0.269,0.0
16,000016.png,1480.969,5.0,7097.112,0.719,0.0
17,000017.png,1380.829,,,,0.0
18,000018.png,1363.03,12.0,18725.256,1.578,0.0
19,000019.png,1362.234,1.0,1456.497,0.285,0.0
20,000020.png,1348.978,4.0,5463.801,0.526,0.0
21,000021.png,1398.758,4.0,5589.998,0.479,0.0
22,000022.png,1344.166,10.0,21472.79,6.87,2.0
23,000023.png,1356.051,5.0,8780.1,0.622,0.0
24,000024.png,1368.377,1.0,1416.973,0.288,1.0
25,000025.png,1347.307,7.0,10360.128,0.857,7.0
26,000026.png,1312.758,5.0,6962.087,0.566,0.0
27,000027.png,1313.303,5.0,7070.107,0.605,0.0
28,000028.png,1315.92,1.0,1558.383,0.293,1.0
29,000029.png,1315.451,1.0,1521.045,0.286,0.0
30,000030.png,1383.422,8.0,13714.776,1.234,0.0
31,000031.png,1781.234,3.0,4260.258,0.631,3.0
32,000032.png,1448.377,2.0,2768.742,0.345,0.0
33,000033.png,1747.1,11.0,15963.379,2.949,8.0
34,000034.png,1450.78,1.0,1432.854,0.3,1.0
35,000035.png,1521.432,7.0,9516.639,0.673,0.0
36,000036.png,2142.041,6.0,8104.991,0.592,0.0
37,000037.png,1388.442,1.0,1488.755,0.286,0.0
38,000038.png,1455.718,9.0,13021.04,1.465,6.0
39,000039.png,1359.423,1.0,1453.48,0.292,1.0
40,000040.png,1421.301,10.0,14382.311,1.138,0.0
41,000041.png,1469.042,2.0,2704.951,0.35,0.0
42,000042.png,1467.084,,,,0.0
43,000043.png,1416.568,5.0,6944.712,0.55,0.0
44,000044.png,1380.997,10.0,13979.685,1.215,5.0
45,000045.png,1856.592,4.0,5368.293,0.491,0.0
46,000046.png,1511.411,,,,0.0
47,000047.png,1392.587,7.0,9500.615,0.712,0.0
48,000048.png,1524.728,3.0,4050.213,0.413,0.0
49,000049.png,1372.736,1.0,1400.48,0.292,1.0
50,000050.png,1434.964,5.0,6666.8,0.525,3.0
51,000051.png,1325.101,2.0,2700.863,0.345,1.0
52,000052.png,1339.8,3.0,4013.88,0.408,0.0
53,000053.png,1368.219,,,,0.0
54,000054.png,1320.498,3.0,4041.041,0.416,3.0
55,000055.png,1491.961,1.0,1436.67,0.303,0.0
56,000056.png,1414.03,9.0,12496.434,0.875,0.0
57,000057.png,1453.882,7.0,10781.904,0.75,0.0
58,000058.png,1437.039,2.0,2764.322,0.342,2.0
59,000059.png,1397.928,8.0,11740.507,1.318,0.0
60,000060.png,1364.17,6.0,8297.715,0.617,0.0
61,000061.png,1352.683,12.0,17343.663,3.059,0.0
62,000062.png,1373.774,,,,0.0
63,000063.png,2051.216,4.0,5349.671,0.471,1.0
64,000064.png,1377.175,2.0,2655.935,0.342,0.0
65,000065.png,1368.386,1.0,1375.518,0.28,0.0
66,000066.png,1318.965,1.0,1370.661,0.276,1.0
67,000067.png,1315.978,1.0,1371.98,0.273,0.0
68,000068.png,1329.689,5.0,6664.29,0.533,1.0
69,000069.png,1393.702,1.0,1392.325,0.276,0.0
70,000070.png,1380.27,,,,0.0
71,000071.png,1337.248,4.0,5374.821,0.47,0.0
72,000072.png,1310.702,11.0,15525.797,2.399,1.0
73,000073.png,1326.304,1.0,1403.47,0.277,1.0
74,000074.png,1389.935,1.0,1376.723,0.276,0.0
75,000075.png,1321.018,6.0,8654.219,2.814,0.0
76,000076.png,1337.178,7.0,9938.762,0.671,0.0
77,000077.png,1324.09,10.0,14775.172,1.419,0.0
78,000078.png,1320.139,3.0,4035.613,0.406,0.0
79,000079.png,1325.793,5.0,6676.188,0.527,5.0
80,000080.png,1342.064,8.0,11389.552,0.728,0.0
81,000081.png,1332.805,5.0,6652.205,0.542,0.0
82,000082.png,1323.569,5.0,6616.565,0.593,4.0
83,000083.png,1322.176,3.0,3971.855,0.401,2.0
84,000084.png,1547.347,1.0,1376.875,0.299,1.0
85,000085.png,1344.339,7.0,9892.252,0.656,0.0
86,000086.png,1323.187,4.0,5367.152,0.527,0.0
87,000087.png,1413.815,6.0,8626.077,0.589,0.0
88,000088.png,1631.289,2.0,2711.068,0.373,1.0
89,000089.png,1465.815,4.0,5861.282,0.487,1.0
90,000090.png,1374.7,4.0,5889.634,0.481,0.0
91,000091.png,1459.261,6.0,8620.315,0.613,0.0
92,000092.png,1318.435,1.0,1380.775,0.29,1.0
93,000093.png,1433.525,6.0,8325.891,0.643,0.0
94,000094.png,1481.694,4.0,5843.845,0.53,1.0
95,000095.png,1398.326,13.0,20530.791,3.909,1.0
96,000096.png,1337.111,1.0,1419.445,0.268,1.0
97,000097.png,1333.786,8.0,11440.674,0.735,1.0
98,000098.png,1479.979,5.0,6740.177,0.572,0.0
99,000099.png,1718.338,8.0,11554.544,1.185,0.0
100,000100.png,1555.427,7.0,9649.1,0.661,7.0
101,000101.png,1423.816,,,,7.0
102,000102.png,1431.7,10.0,14844.072,1.398,1.0
103,000103.png,1436.221,5.0,6775.63,0.735,0.0
104,000104.png,1734.811,8.0,11029.845,0.715,0.0
105,000105.png,1727.264,1.0,1431.395,0.291,0.0
106,000106.png,1396.389,3.0,4045.756,0.436,0.0
107,000107.png,1345.913,3.0,4038.268,0.401,3.0
108,000108.png,1649.339,4.0,5371.025,0.484,2.0
109,000109.png,1498.127,1.0,1417.754,0.277,1.0
110,000110.png,1389.899,1.0,1410.387,0.305,0.0
111,000111.png,1340.298,6.0,8074.189,0.667,2.0
112,000112.png,1371.179,,,,2.0
113,000113.png,1359.797,9.0,13037.388,0.818,0.0
114,000114.png,1319.247,2.0,2724.939,0.341,0.0
115,000115.png,1517.392,4.0,5320.65,0.479,3.0
116,000116.png,1366.996,5.0,6896.8,0.531,0.0
117,000117.png,1412.869,3.0,4036.207,0.412,0.0
118,000118.png,1456.09,21.0,33114.26,3.375,15.0
119,000119.png,1489.177,2.0,2787.489,0.336,1.0
120,000120.png,1431.658,,,,1.0
121,000121.png,1341.845,2.0,2930.002,0.34,1.0
122,000122.png,1493.167,6.0,9136.269,1.114,0.0
123,000123.png,1324.648,8.0,11336.329,0.747,1.0
124,000124.png,1319.77,7.0,9815.4,1.066,3.0
125,000125.png,1365.419,,,,3.0
126,000126.png,1615.841,8.0,11313.59,0.78,0.0
127,000127.png,1435.487,2.0,2689.427,0.369,1.0
128,000128.png,1381.309,6.0,8362.221,0.68,0.0
129,000129.png,1407.142,,,,0.0
130,000130.png,1365.6,,,,0.0
131,000131.png,1323.937,2.0,2808.498,0.334,0.0
132,000132.png,1323.018,,,,0.0
133,000133.png,1506.966,6.0,9889.377,1.089,0.0
134,000134.png,1423.376,1.0,1666.987,0.284,0.0
135,000135.png,1765.62,6.0,8822.03,0.619,3.0
136,000136.png,1886.049,,,,3.0
137,000137.png,1480.302,1.0,1399.768,0.27,1.0
138,000138.png,1446.131,10.0,14336.45,1.708,0.0
139,000139.png,1492.15,8.0,11957.78,0.723,0.0
140,000140.png,1371.046,,,,0.0
141,000141.png,1343.978,16.0,25113.349,5.944,0.0
142,000142.png,1311.61,4.0,5396.536,0.483,1.0
143,000143.png,1319.784,2.0,2677.189,0.369,0.0
144,000144.png,1520.11,1.0,1388.067,0.285,0.0
145,000145.png,1402.084,10.0,14135.287,1.548,0.0
146,000146.png,1375.555,4.0,5311.875,0.535,0.0
147,000147.png,1492.532,1.0,1378.167,0.273,1.0
148,000148.png,1528.606,3.0,3997.979,0.394,3.0
